Date,Open,High,Low,Close,Adj Close,Volume
6/20/19,89.720001,89.830002,89.059998,89.739998,88.747284,1871700
6/21/19,89.639999,90.480003,89.43,90.080002,89.083527,1226000
6/24/19,89.93,90.589996,89.830002,90.080002,89.083527,877500
6/25/19,89.57,89.699997,88.360001,88.400002,87.422112,1098100
6/26/19,88.709999,88.709999,87.309998,87.370003,86.403503,897600
6/27/19,87.18,87.290001,86.400002,87.199997,86.235374,1107200
6/28/19,88.220001,88.690002,88.120003,88.510002,87.530891,890500
7/1/19,88.559998,88.82,87.849998,88.43,87.451775,1024900
7/2/19,89.57,90.82,89.470001,90.650002,89.647217,1459900
7/3/19,93.43,94.160004,92.870003,93.93,92.89093,1552500
7/5/19,92.830002,92.889999,91.959999,92.709999,91.684425,1112800
7/8/19,92.480003,92.629997,91.559998,91.68,90.665825,936300
7/9/19,91.910004,92.110001,91.25,91.510002,90.497704,1717700
7/10/19,91.879997,91.879997,90.610001,91.349998,90.33947,1657300
7/11/19,90.449997,90.790001,89.199997,89.660004,88.668175,2838000
7/12/19,88.489998,88.849998,85.25,86.940002,85.978256,5686600
7/15/19,87.769997,88.580002,87.660004,88.559998,87.580338,2553100
7/16/19,88.279999,88.370003,87.639999,88.010002,87.036423,1523700
7/17/19,89.400002,89.400002,88.129997,88.419998,87.441887,1432000
7/18/19,88.870003,90.379997,88.419998,89.339996,88.351707,2214200
7/19/19,94.410004,94.540001,93.019997,94.279999,93.237061,5054900
7/22/19,94.629997,95.260002,94.389999,94.970001,93.919426,2205900
7/23/19,95.519997,95.910004,95.230003,95.830002,94.769913,2138800
7/24/19,95.900002,96.239998,95.059998,95.559998,94.502899,1708600
7/25/19,100.779999,102.699997,98.330002,99.489998,98.389427,6144600
7/26/19,99.940002,100.839996,99.699997,100.489998,99.378365,2464400
7/29/19,101.919998,102.129997,101.220001,101.669998,100.545311,2566200
7/30/19,101,101.690002,100.910004,101.580002,100.456306,1393300
7/31/19,101.110001,101.989998,99.699997,100.980003,99.862946,1428000
8/1/19,101.489998,102.589996,100.190002,100.459999,99.348694,1583900
8/2/19,100.309998,100.669998,99.379997,100.190002,99.081688,925800
8/5/19,97.730003,98.440002,97.260002,98.190002,97.103813,1543900
8/6/19,97.400002,98.169998,97.129997,97.699997,96.619225,1181900
8/7/19,96.839996,98.540001,96.43,98.169998,97.08403,1200400
8/8/19,99.199997,99.199997,96.910004,98.510002,97.420273,1463700
8/9/19,98.419998,98.790001,97.32,98.220001,97.133476,1075900
8/12/19,97.139999,97.360001,96,96.269997,95.205048,1420900
8/13/19,95.220001,96.980003,95.059998,95.669998,94.611679,1655400
8/14/19,94.269997,94.370003,92.639999,93.360001,92.32724,1945700
8/15/19,93.209999,94.07,93.040001,93.629997,92.594246,1024600
8/16/19,94.5,95.459999,94.470001,95.290001,94.235886,929100
8/19/19,96.269997,96.360001,93.040001,95.919998,94.858917,946400
8/20/19,95.419998,95.650002,94.839996,94.949997,93.899643,969800
8/21/19,96.110001,96.410004,95.669998,95.870003,94.809471,785400
8/22/19,96.199997,96.269997,95.040001,95.580002,94.522682,953900
8/23/19,96.010002,96.379997,93.860001,94.190002,93.148056,1018500
8/26/19,94.720001,94.989998,94.290001,94.800003,93.751312,1058900
8/27/19,95.150002,95.309998,92.279999,92.989998,91.961327,1521000
8/28/19,92.559998,93.790001,92.139999,93.639999,92.604141,788100
8/29/19,95.309998,95.57,94.540001,95.260002,94.206223,750400
8/30/19,95.5,95.540001,94.32,94.5,93.454628,583800
9/3/19,93.68,94.160004,93.5,93.959999,92.920601,680000
9/4/19,94.629997,95.040001,94.370003,94.730003,93.682083,632200
9/5/19,94.150002,94.379997,93.059998,93.25,92.218452,1341000
9/6/19,92.839996,93.599998,92.790001,93.57,92.534912,1120600
9/9/19,93.129997,95.839996,93.129997,95.779999,94.720467,2399400
9/10/19,95.519997,95.550003,93.800003,94.199997,93.157944,1453400
9/11/19,92.230003,94.43,92.099998,94.269997,93.227165,1459600
9/12/19,96.07,98.339996,95.739998,97.470001,96.391777,2552000
9/13/19,96.339996,97.010002,96.019997,96.400002,95.333611,1142000
9/16/19,95.93,96.059998,95.599998,95.739998,94.680908,598300
9/17/19,96.220001,97.269997,96.18,96.970001,95.897308,1443000
9/18/19,96.389999,97.050003,96.309998,96.900002,95.828079,1043000
9/19/19,95.980003,96.089996,94.900002,94.980003,93.929321,864200
9/20/19,96.43,96.82,96.129997,96.32,95.254494,1167200
9/23/19,95.940002,96.510002,95.889999,96.339996,95.274269,903100
9/24/19,94.650002,94.730003,93.239998,93.830002,92.792038,1036500
9/25/19,94.43,94.849998,94,94.610001,93.563408,765200
9/26/19,94.400002,95.480003,94.400002,94.980003,93.929321,588400
9/27/19,95.330002,95.330002,94.099998,94.419998,93.375511,807300
9/30/19,94.970001,95.720001,94.93,95.150002,94.097435,1212100
10/1/19,94.589996,94.75,92.870003,93.339996,92.307457,1351600
10/2/19,92.57,92.779999,90.610001,91.059998,90.052681,1161300
10/3/19,90.559998,92.239998,89.870003,91.900002,90.883392,2054700
10/4/19,91.400002,93.389999,91.309998,93.330002,92.297569,1232100
10/7/19,93.510002,93.959999,92.989998,93,91.971222,904500
10/8/19,92.760002,92.779999,91.709999,91.949997,90.932831,792900
10/9/19,92.910004,93.059998,92.309998,92.529999,91.506416,646400
10/10/19,91.459999,92.279999,91.309998,91.559998,90.54715,917600
10/11/19,92.540001,92.68,92.050003,92.309998,91.288849,756000
10/14/19,91.889999,92.099998,91.25,91.279999,90.270248,1055100
10/15/19,92.080002,92.860001,91.690002,92.080002,91.061401,1467400
10/16/19,92.540001,92.540001,92,92.279999,91.259186,631500
10/17/19,93.489998,93.559998,92.830002,93.279999,92.248123,1068300
10/18/19,92.860001,93.32,92.760002,93.029999,92.000885,583900
10/21/19,93.599998,93.699997,93.099998,93.43,92.396461,707800
10/22/19,92.129997,92.599998,91.839996,91.889999,90.873497,869400
10/23/19,90.949997,91.739998,90.589996,91.459999,90.448257,889700
10/24/19,92.010002,92.050003,91.449997,91.599998,90.586708,749100
10/25/19,84,84.360001,81.559998,81.830002,80.924789,5812500
10/28/19,81.620003,81.809998,80.75,80.980003,80.08419,1756600
